,APMC,Commodity,Year,Month,arrivals_in_qtl,min_price,max_price,modal_price,date,district_name,state_name
1,nashik,apple,2014,november,1146,6214,10714,8429.0,2014-11,nasik,maharashtra
2,karad,apple,2014,september,369,5763,11406,8569.0,2014-09,satara,maharashtra
3,karad,apple,2014,october,246,7833,16500,12167.0,2014-10,satara,maharashtra
4,nashik,apple,2014,december,1138,6174,10889,8556.0,2014-12,nasik,maharashtra
5,sangali,bedana,2014,september,34646,14286,29600,21786.0,2014-09,sangli,maharashtra
6,tasgaon,bedana,2014,november,8917,12600,18673,15733.0,2014-11,sangli,maharashtra
7,tasgaon,bedana,2014,september,33591,12806,20214,15497.0,2014-09,sangli,maharashtra
8,tasgaon,bedana,2014,october,6886,11800,17247,14533.0,2014-10,sangli,maharashtra
9,sangali,bedana,2014,november,12612,11500,26925,19150.0,2014-11,sangli,maharashtra
10,sangali,bedana,2014,october,5943,12500,27800,20500.0,2014-10,sangli,maharashtra
11,sangali,bedana,2014,december,15620,11720,26920,18400.0,2014-12,sangli,maharashtra
12,tasgaon,bedana,2014,december,23321,12791,18245,15721.0,2014-12,sangli,maharashtra
13,mumbai,betelnuts,2014,october,1372,29684,36737,33211.0,2014-10,mumbai,maharashtra
14,mumbai,betelnuts,2014,september,1465,30095,35619,32857.0,2014-09,mumbai,maharashtra
15,mumbai,betelnuts,2014,december,1687,28385,31769,30077.0,2014-12,mumbai,maharashtra
16,mumbai,betelnuts,2014,november,1313,30126,32832,31479.0,2014-11,mumbai,maharashtra
17,pune,bijli,2014,september,183,11000,15500,13250.0,2014-09,pune,maharashtra
18,khamgaon,buffalo,2014,december,282,12500,45000,28750.0,2014-12,buldhana,maharashtra
19,khamgaon,bullack,2014,october,66,5000,30000,17500.0,2014-10,buldhana,maharashtra
20,mumbai,cardamom,2014,september,338,77333,116667,97000.0,2014-09,mumbai,maharashtra
21,mumbai,cardamom,2014,december,714,72667,120952,96810.0,2014-12,mumbai,maharashtra
22,mumbai,cardamom,2014,november,506,88000,109231,98615.0,2014-11,mumbai,maharashtra
23,mumbai,cardamom,2014,october,484,80000,124000,96000.0,2014-10,mumbai,maharashtra
24,mumbai,cashewnuts,2014,september,5947,45826,79957,62891.0,2014-09,mumbai,maharashtra
25,mumbai,cashewnuts,2014,december,5467,47667,80444,64056.0,2014-12,mumbai,maharashtra
26,mumbai,cashewnuts,2014,october,6203,52632,94526,73579.0,2014-10,mumbai,maharashtra
27,mumbai,cashewnuts,2014,november,3612,52381,91429,71905.0,2014-11,mumbai,maharashtra
28,pune,chillies(red),2014,september,1384,7240,15933,11587.0,2014-09,pune,maharashtra
